Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,650",82.5,81.1,84,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,1,BO1,CAT1,_HCVU651,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,790,17.5,16,19,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,1,BO1,CAT1,_HCVU651,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,882",82.9,81,84.7,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,2,BO1,CAT1,_HCVU651,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,430,17.2,15.3,19,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,2,BO1,CAT1,_HCVU651,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"7,047",82.1,80.6,83.5,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,4,BO1,CAT1,_HCVU651,RESP046,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,989,17.9,16.5,19.4,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,4,BO1,CAT1,_HCVU651,RESP054,"(34.865970280000454, -111.76381127699972)"
2014,AR,Arkansas,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,386",79.8,77.5,82.1,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,5,BO1,CAT1,_HCVU651,RESP046,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,392,20.2,17.9,22.5,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,5,BO1,CAT1,_HCVU651,RESP054,"(34.74865012400045, -92.27449074299966)"
2014,CA,California,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"5,443",82.2,81,83.5,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,6,BO1,CAT1,_HCVU651,RESP046,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,"1,004",17.8,16.6,19,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,6,BO1,CAT1,_HCVU651,RESP054,"(37.63864012300047, -120.99999953799971)"
2014,CO,Colorado,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"7,803",84.7,83.7,85.7,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,8,BO1,CAT1,_HCVU651,RESP046,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,"1,071",15.3,14.3,16.3,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,8,BO1,CAT1,_HCVU651,RESP054,"(38.843840757000464, -106.13361092099967)"
2014,CT,Connecticut,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,748",89.5,88.2,90.7,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,9,BO1,CAT1,_HCVU651,RESP046,"(41.56266102000046, -72.64984095199964)"
2014,CT,Connecticut,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,384,10.6,9.3,11.8,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,9,BO1,CAT1,_HCVU651,RESP054,"(41.56266102000046, -72.64984095199964)"
2014,DE,Delaware,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,413",89.2,87.5,90.8,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,10,BO1,CAT1,_HCVU651,RESP046,"(39.008830667000495, -75.57774116799965)"
2014,DE,Delaware,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,252,10.8,9.2,12.5,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,10,BO1,CAT1,_HCVU651,RESP054,"(39.008830667000495, -75.57774116799965)"
2014,DC,District of Columbia,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,302",90.4,88.1,92.7,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,11,BO1,CAT1,_HCVU651,RESP046,"(38.89037138500049, -77.03196112699965)"
2014,DC,District of Columbia,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,119,9.6,7.3,11.9,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,11,BO1,CAT1,_HCVU651,RESP054,"(38.89037138500049, -77.03196112699965)"
2014,FL,Florida,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,475",77.2,75.7,78.8,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,12,BO1,CAT1,_HCVU651,RESP046,"(28.932040377000476, -81.92896053899966)"
2014,FL,Florida,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,933,22.8,21.2,24.3,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,12,BO1,CAT1,_HCVU651,RESP054,"(28.932040377000476, -81.92896053899966)"
2014,GA,Georgia,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"3,338",75,73.1,76.9,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,13,BO1,CAT1,_HCVU651,RESP046,"(32.83968109300048, -83.62758034599966)"
2014,GA,Georgia,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,726,25,23.1,26.9,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,13,BO1,CAT1,_HCVU651,RESP054,"(32.83968109300048, -83.62758034599966)"
